autor,emocionalidad_full,objetividad_full
Edgardo Esteban,4.688131332397461,0.5979166666666667
Marina Muñoz,4.597719260624477,0.6236608946608946
Emilce Moler,4.207610607147217,0.6688811188811189
Gustavo Grazioli,4.207038402557373,
Nora Veiras,4.206132888793945,0.4120915032679737
León Gieco,3.9916205406188965,0.4832296176046176
Victoria Ginzberg,3.8240039348602295,0.557142857142857
Eduardo Aliverti,3.7463831901550293,0.4607002048131079
Micaela Zegarra Borlando,3.7337255636850992,0.6152488406275277
Lila María Feldman,3.6745521128177643,0.5272668607254813
