autor,emocionalidad_full,objetividad_full
José Maggi,2.945730447769165,0.7654377880184332
Mercedes López San Miguel,2.8103695596967424,0.6952148444374054
Alfredo Zaiat,2.414743423461914,0.693045843045843
Luciana Bertoia,2.6574764969837235,0.6907163817085334
Emilce Moler,4.207610607147217,0.6688811188811189
Betina Stein,1.3552024364471436,0.6571095571095571
Sonia Tessa,2.446999728679657,0.657051282051282
Jorge Elbaum,2.8270790346207155,0.6561842918985776
Federico Lorenz,3.4888522624969482,0.6454184704184704
Jeremías Perez Rabasa,3.4216713499515614,0.6449016888424767
