titulo,contenido,autor,fecha,url,emocionalidad_full,subjetividad_full,objetividad_full,seccion
"Trabajadores contra la ""desregulación"" de Vialidad Nacional","EN VIVO La Confederación Argentina de Trabajadores del Transporte (CATT) rechazó en un comunicado difundido ayer ""cualquier política"" del Gobierno libertario tendiente a desregular Vialidad Nacional y exigió la continuidad de todos los puestos de trabajo. Los gremios que conduce Juan Carlos Schmid se solidarizaron con los trabajadores de la Dirección de Vialidad Nacional (DVN) y rechazaron “enérgicamente” la posible desregulación del organismo, como consecuencia de la posible derogación de la Ley N° 505. Los gremios criticaron la “pérdida de autonomía y presupuesto propio”, por lo que le exigieron a la gestión a cargo de Javier Milei la “inmediata suspensión de cualquier medida que busque desregular o privatizar a la DVN”. En el documento publicado desde la confederación, rechazaron “enérgicamente” la posible desregulación del organismo, algo que podría suceder en las próximas semanas a partir de un nuevo decreto de la cartera que conduce el ministro Federico Sturzenegger. En ese sentido, los gremios apuntaron contra la “pérdida de autonomía y presupuesto propio”, por lo que le exigieron a la gestión a cargo de Javier Milei la “inmediata suspensión de cualquier medida que busque desregular o privatizar a la DVN”. Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Desconocido,2025-02-19T12:25:42-03:00,https://www.pagina12.com.ar/805016-trabajadores-contra-la-desregulacion-de-vialidad-nacional,3.204249858856201,0.6698232323232323,0.33017676767676774,el-pais
"Francos, con la UIA","EN VIVO La Unión Industrial Argentina (UIA) recibió al jefe de Gabinete de Ministros, Guillermo Francos, para dialogar sobre la marcha de la economía, la situación de las industrias nacionales y el debate de la “ley Bases”. Durante el encuentro las autoridades, encabezadas por Daniel Funes de Rioja, presentaron un panorama de la actividad industrial, la importancia de mantener el empleo y de la necesidad de medidas que ayuden a recuperar la actividad y aumentar las exportaciones industriales con valor agregado. Durante el encuentro, Funes de Rioja indicó que “apoyamos la ley Bases y creemos que el proceso de diálogo ha sido sumamente constructivo” y agregó que “sabemos que recomponer el orden macro, la infraestructura y la confianza va a llevar tiempo, por eso es clave resguardar la producción frente a la competencia desleal.” Funes de Rioja señaló también que “la presión impositiva atenta contra la competitividad de nuestras industrias y debemos igualar las condiciones para poder competir con el mundo”, y manifestó que “la estabilización de la macroeconomía es condición clave para la recuperación pero no podemos dejar de lado a las industrias”. Los miembros del Comité Ejecutivo ponderaron los acuerdos alcanzados para la sanción de la “ley Bases” y la creación del régimen de incentivos de las grandes inversiones, a la vez que reiteraron la necesidad de contar con medidas para fomentar a las pymes que producen localmente y que podrían enfrentarse a una competencia desleal frente a importaciones indiscriminadas de insumos y productos terminados. Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Desconocido,2024-06-05T00:01:00-03:00,https://www.pagina12.com.ar/742160-francos-con-la-uia,3.6716315746307373,0.6602380952380952,0.3397619047619048,economia
"La defensa de Luiz Juez a Javier Milei: ""Es extremadamente ingenuo""","EN VIVO El senador del PRO Luis Juez continúa haciendo la tarea para que lo dejen ingresar a las fuerzas del cielo. En esta oportunidad salió a realizar una llamativa defensa de Javier Milei por el escándalo de $Libra, al asegurar que ""es un tipo extremadamente ingenuo"". Para justificar su respaldo, Juez explicó que lo suyo ""no es un cheque en blanco"" hacia Milei, sino ""la desesperación de creer en alguien"". En esa línea, afirmó que conoció a todos los presidente y que, a diferencia del resto, Milei ""es decente e ingenuo"". Sin embargo, también resaltó que ""cuando sos Presidente, la ingenuidad te puede costar la vuelta de lo peor de la política"" y denunció que hay ""algunos pícaros que le arman caminos intrincados"" al libertario. Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Desconocido,2025-02-23T00:01:00-03:00,https://www.pagina12.com.ar/806044-la-defensa-de-luiz-juez-a-javier-milei-es-extremadamente-ing,3.544027805328369,0.655128205128205,0.344871794871795,el-pais
El vicepresidente de EE.UU. acusa a Dinamarca de haber descuidado Groenlandia,"EN VIVO El vicepresidente de Estados Unidos,JD Vance, acusó el viernes a Dinamarca de no haber hecho lo suficiente para proteger Groenlandia, durante suvisita al territorio danés, estratégicamente situado y rico en recursos, que es codiciado por el presidente Donald Trump.La visita de Vance a la base estadounidense de Pituffik, en la costa noroeste de Groenlandia, en compañía de su esposa Usha Vance, del consejero de Seguridad Nacional Mike Waltz y del ministro de Energía Chris Wright,fue considerada como una provocación en la isla ártica y en Dinamarca. ""Dinamarca no hizo un buen trabajo para garantizar la seguridad de Groenlandia"", dijo JD Vance a las tropas estadounidenses instaladas en su base militar. ""No han invertido lo suficiente en la población de Groenlandia y en la seguridad de esta increíble y hermosa masa continental de gente increíble. Esto tiene que cambiar"", agregó el vicepresidente. ""Durante muchos años, hemos acompañado a los estadounidenses en situaciones muy difíciles"", reaccionó la primera ministra danesa,Mette Frederiksen, refiriéndose al compromiso danés junto a las tropas estadounidenses en Irak y Afganistán. ""Por lo tanto, la forma en que el vicepresidente se refiere a Dinamarca no es exacta"", dijo Frederiksen y se declaró dispuesta a ""cooperar día y noche con los estadounidenses"" en materia de seguridad en el Ártico, en unas declaraciones escritas a medios daneses. Tras su crítica a Dinamarca,Vance apuntó sin embargo que no cree que ""la fuerza militar"" vaya a ser ""necesaria"" para alcanzar sus objetivos con este territorio. ""Pensamos que los habitantes de Groenlandia son racionales y que vamos a llegar a un acuerdo al estilo de Donald Trump para garantizar la seguridad de ese territorio y también la de Estados Unidos"", señaló. Poco antes,Trump insistió en que EE.UU. necesita Groenlandia y que es ""muy importante"" para la seguridad internacional.Pero los gobiernos de Dinamarca y de la propia isla expresaron su rechazo a este plan desde Washington. La primera ministra danesa había acusado ""la presión inaceptable"" de Estados Unidos tras el anuncio esta semana de la visita sin invitación de la delegación estadounidense. ""Venir de visita cuando no hay gobierno establecido no se considera una señal de respeto hacia un aliado"", declaró por su parte el viernes el nuevo primer ministro de Groenlandia,Jens Frederik Nielsen.Coincidiendo con la visita, Nielsen, de centroderecha, anunció un acuerdo para formar un gobierno cuatripartito ""para enfrentar la fuerte presión"". La base de Pituffik es una parte esencial de la infraestructura de defensa antimisiles de Washington, ya que su ubicación en el Ártico la sitúa en la ruta más corta para los misiles disparados desde Rusia contra Estados Unidos. Conocida como Thule Air Base hasta 2023, la base sirvió como puesto de alerta ante posibles ataques de la Unión Soviética durante la Guerra Fría. Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Desconocido,2025-03-29T00:01:00-03:00,https://www.pagina12.com.ar/814265-el-vicepresidente-de-ee-uu-acusa-a-dinamarca-de-haber-descui,2.2983179092407227,0.646236559139785,0.35376344086021505,el-mundo
Vía libre para la emergencia ferroviaria,"EN VIVO El Gobierno declaró la emergencia ferroviaria por dos años, la cual alcanza a la administración, mantenimiento y operación de los servicios, y asignó una partida de 1,3 billones de pesos para su funcionamiento. La decisión se oficializó a través de la publicación de un decreto de necesidad y urgencia (DNU) firmado por el presidente Javier Milei y todo el gabinete. El sistema ferroviario quedó dentro del paquete privatizaciones que votó el Congreso en la Ley Bases y desde Unión por la Patria y el Frente de Izquierda alertan por el desguace del sistema ferroviario. La declaración abarca los servicios de transporte de pasajeros y cargas de jurisdicción nacional y comprende la totalidad de las actividades inherentes a la administración y mantenimiento de la infraestructura ferroviaria, así como la operación de los servicios ferroviarios en la Red Ferroviaria Nacional. La medida fue dispuesta por un plazo de dos años, prorrogable por única vez por el mismo período. La Ley Bases aprobada por el Senado mantuvo entre las empresas a concesionar al Belgrano Cargas y a la  sociedad Operadora Ferroviaria Sociedad del Estado (Sofse). Otro de los puntos del decreto establece que tanto la Secretaría de Transporte como las empresas ferroviarias ""podrán dejar sin efecto los procedimientos de contratación""que ""no se encontrasen perfeccionados y las contrataciones que no tuvieran principio de ejecución. ""Esta herramienta permitirá que el Gobierno Nacional avance en acciones necesarias para poder mejorar las condiciones de seguridad operativa en los servicios ferroviarios a través de la renovación de la infraestructura"", señaló un comunicado de la Secretaría de Transporte. El decreto establece la asignación de 1,3 billones de pesos para las inversiones necesarias para mejorar las condiciones de seguridad operativa. Además, se facultará a las empresas ferroviarias a renegociar las deudas y contratos heredados por la gestión anterior para destinar dichos recursos a la seguridad operativa. El decreto designa como autoridad de aplicación de la emergencia ferroviaria a la Secretaría de Transporte, la cual deberá elaborar un plan de acción, dentro del término de los 15 días, con las medidas indispensables y urgentes a tomar. A su vez se indicó que, en caso de ser necesario, se deberán realizar ""las adecuaciones de las condiciones laborales de sus trabajadores mediante negociaciones con las representaciones sindicales"". Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Desconocido,2024-06-14T00:01:00-03:00,https://www.pagina12.com.ar/744598-via-libre-para-la-emergencia-ferroviaria,2.124939441680908,0.635,0.365,economia
"Los Ángeles, devastada por el fuego","EN VIVO La ciudad de Los Ángeles, devastada por vastos incendios en la costa oeste estadounidense, esperaba nerviosamente el miércoles que los fuertes y peligrosos vientos secos amainaran y dieran un respiro a los batallones de bomberos.Los meteorólogos dijeron que el final podría estar cerca, más de una semana después del estallido de los incendios que provocaron al menos 25 muertosy arrasaron comunidades de las afueras de la segunda ciudad más grande de Estados Unidos. Habrá ""una gran mejora para esta noche y mañana, aunque todavía habrá algunas áreas donde la preocupación es persistente"", dijo Ryan Kittell, del Servicio Meteorológico Nacional estadounidense (NWS). Partes del condado de Los Ángeles permanecieron en estado de ""Situación Particularmente Peligrosa"", una designación oficial que estaba en vigor antes de los incendios. Los incendios de Eaton y el de Palisades, que juntos han quemado 16.000 hectáreas, seguían ardiendo el miércoles. Batallones de bomberos de todo EE.UU. y México, trabajaban para controlar los puntos calientes. Los vuelos con infrarrojos indicaron que todavía hay numerosos puntos calientes ardiendo dentro de la zona del incendio. Con decenas de miles de personas aún desplazadas de sus hogares, la vida estaba lejos de ser normal en esa metrópoli. Caroline Nick,una ama de casa, llevó a Emery, de 11 años, y a Andrew, de 7, a la escuela primaria Nora Stery el miércoles después de que su propia escuela quedara destruida en el incendio. El número confirmado de muertos por los incendios se mantuvo en 24, pero aún podría aumentar porque hay cientos de edificios por revisar. Más de 12.000 estructuras han sido arrasadas por el fuego, incluyendo casas de varios millones de dólares en el barrio de Pacific Palisades. Las estimaciones del coste final de la tragedia ascienden a 275.000 millones de dólares, una de las más costosas de la historia de EE.UU. Las autoridades federales iniciaron una investigación para esclarecer las causas de los incendios, mientras surgen teorías sobre quién fue el responsable. El gobernador de California, Gavin Newsom, ordenó que los equipos de remoción de escombros esperen ante posibles tormentas que podrían provocar deslizamientos de tierra. Pero algunos vecinos de Palisades no se quedan de brazos cruzados y trabajan para retirar ellos mismos los escombros de calles y aceras. Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Desconocido,2025-01-16T11:34:56-03:00,https://www.pagina12.com.ar/797182-los-angeles-devastada-por-el-fuego,2.733513355255127,0.6284946236559141,0.37150537634408587,sociedad
Elecciones en Uruguay: Cristina Kirchner celebró la elección de Yamandú Orsi,"EN VIVO Cristina Kirchner celebró y felicitó a Yamandú Orsi quien se convirtió en el presidente electo.""La hermana República Oriental del Uruguay tiene nuevo presidente: Yamandú Orsi.Enorme alegría y todas las felicitaciones al flamante presidente, a su compañera de fórmula Carolina Cosse y por supuesto al Frente Amplio, la fuerza política que vuelve al Gobierno"", compartió la expresidenta en redes sociales. Y para completar, también saludo a Pepe Mujica y destacó su ""militancia y perseverancia"". ""Y también un fuerte abrazo aPepe Mujica y a Lucia no solo ejemplos de militancia nacional, popular y democrática, sino también de perseverancia y resiliencia. Fuerza Pepe, estamos muy felices, te merecías este triunfo"", precisó.  Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Desconocido,2024-11-25T00:01:00-03:00,https://www.pagina12.com.ar/785350-elecciones-en-uruguay-cristina-kirchner-celebro-la-eleccion-,4.57968807220459,0.6241341991341992,0.3758658008658008,el-mundo
"El fin del amor: ""Yuyito"" González se separó de Javier Milei","EN VIVO La conductora televisivaAmalia ""Yuyito"" Gonzálezanunció este lunes por la mañana que ya no está en pareja con el presidente Javier Milei. ""Quiero anunciarles quehemos terminado nuestrarelación con Javier Milei"", dijo la exmodelo y vedette en la apertura de su programa televisivo. ""He decidido terminarla, él también, esto es consensuado"", agregó. En un intento de aclarar las condiciones de la ruptura amorosa, la conductora aseguró: ""Estamos perfectamente bien, en perfectas condiciones de relación"". A pesar de tan excelente vínculo, ""Yuyito"" González precisó quela pareja optó continuar sus caminos por separadoy lo hizo ""con dignidad, entereza y madurez"". ""Se que me van a esperar 200 millones de micrófonos a la salida del programa, sepan que no tengo nada para decir más que esto"", adelantó González en el comunicado y remarcó que""está todo más que bien"" con el Presidente. Respecto de la actitud que tendrá ante las futuras consultas de la prensa interesada en su separación, la conductora remarcó que ""lo más importante"" es que ha sido una ""hermosa relación"" y queno dará ""ningún tipo de explicación"" adicional. ""Estoy agradecida a Dios por eso y agradecida por lo que viene, lo que Dios tiene para mi vida, que ya puedo vislumbrar"", completó. En noviembre 2024, el Presidente le había concedido una entrevista a su por entonces novia con la intención dehumanizar su imageny mostrarse como ""una persona sensible, simpática"",según palabras de la conductora en aquel momento. Como era de esperar, en ningún pasaje del reportaje la exmodelo incomodó al Presidente, salvo al final cuando ellaquiso besarlo y él quedó descolocado. Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Desconocido,2025-04-22T00:01:00-03:00,https://www.pagina12.com.ar/819709-el-fin-del-amor-yuyito-gonzalez-se-separo-de-javier-milei,3.738701820373535,0.6178571428571429,0.3821428571428571,el-pais
El capitán Alejandro de los Santos,"EN VIVO Esta foto se publicó el día 25 de septiembre de 1926 en la revista Caras y Caretas. Formaba parte de un resumen de noticias deportivas de la semana. En el epígrafe de la imagen se puede leer:“Capitanes y referee en el partido entre la Liga del Sur y un team de la Provincia.También aclara que el partido lo ganó Huracán: “(...) por tres tantos a dos”.Alejandro Nicolas de los Santos Godoy, el capitán del equipo de Parque Patricios era por esos años uno de los futbolistas más importantes del país. El año anterior se había consagrado campeón de la Copa América como delantero titular en la Selección Nacional. Alejandro era afroentrerriano y antes de vestir la camiseta de Huracán se había consagrado como ídolo en el Porvenir, y también se había destacado en Dock Sud, donde, además, residía con su familia. Su impronta en el club de Gerli como goleador histórico fue tan importante que actualmente el microestadio del Porvenir lleva su nombre. Otro dato significativo de su carrera futbolística es que a pesar de que jugó muchos años en el globo, y allí se retiró, su debut fue en San Lorenzo. Aunque varias publicaciones periodísticas señalan que jugó en Huracán a partir del año 1930, este registro de Caras y Caretas fecha la incorporación al club de Parque Patricios 4 años antes. A pesar de su notable trayectoria, no fue convocado al primer mundial de fútbol por un franco acto de racismo institucional, tal como afirman sus hijas. Ese fue el final de su historia con la selección nacional, sin embargo, a nivel local tuvo algunos años más de actividad, retirándose finalmente en el año 1934. Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Desconocido,2023-09-22T09:00:51-03:00,https://www.pagina12.com.ar/590610-el-capitan-alejandro-de-los-santos,3.8075175285339355,0.6095238095238095,0.39047619047619053,negrx
Temporal en Las Grutas: el agua arrastró un vehículo al mar,"EN VIVO El balneario de Las Grutas, en Río Negro, vivió una jornada caótica el sábado, debido a una intensa tormenta que sorprendió a residentes y turistas. Tras un día de calor extremo, el clima cambió bruscamente y se desató una lluvia torrencial, con fuertes vientos de hasta 60 kilómetros por hora, Debido al temporal, varias calles del balneario rionegrino quedaron anegadas. Entre las escenas más sorprendentes, se viralizó un video donde se ve cómo un Jeep es arrastrado por la corriente hacia el mar. En la ciudad de San Antonio Oeste, especialmente en la zona costera, las calles se convirtieron en verdaderos ríos. El Servicio Meteorológico Nacional (SMN) había emitido una alerta por posibles tormentas con actividad eléctrica, granizo y lluvias intensas. En la zona, se registraron acumulaciones de entre 10 y 25 milímetros de agua, con picos mayores en algunos puntos. El pronóstico indica que el mal tiempo persistirá este domingo, con posibles tormentas por la tarde-noche, por lo que se recomienda precaución ante nuevas precipitaciones intensas. Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Desconocido,2025-03-17T12:51:38-03:00,https://www.pagina12.com.ar/811138-temporal-en-las-grutas-el-agua-arrastro-un-vehiculo-al-mar,3.491241693496704,0.6061818181818183,0.39381818181818173,sociedad
