titulo,seccion,emocionalidad,z_emo
Se vienen nuevos aumentos en gas,economia,3.651181221008301,2.4587248290116213
Kristalina Georgieva alabó el modelo argentino,economia,3.510688304901123,2.219521001879173
"Facilitan el intercambio comercial por sistema ""courier""",economia,3.4828453063964844,2.172115396061498
"Facilitan el intercambio comercial por sistema ""courier""",economia,3.4828453063964844,2.172115396061498
Más ventas de usados,economia,3.547456741333008,2.282123095677792
"El mercado inmobiliario, versión 2025",economia,3.606713056564331,2.3830131460650024
Pluspetrol se incorporó a Vaca Muerta  Oleoducto Sur,economia,3.9376449584960938,2.946459187728119
"Del ""Black"" Carrefour a las noches de ofertas de Coto y Changomas",economia,3.69576358795166,2.534630953611806
Trump impulsa la fiebre cripto,economia,3.4477908611297607,2.1124315507962432
Altos rendimientos en las áreas trigueras,economia,3.4180331230163574,2.0617659013046987
Pampa Energía emitió 360 millones de dólares en el mercado internacional a 10 años a una tasa menor al 8%,economia,4.426272392272949,3.778398302097169
Bitcoin está de fiesta con Trump,economia,3.5219013690948486,2.2386124119184867
Extraño cambio en Producción,economia,3.5310726165771484,2.2542274162769367
Soberanía y seguridad alimentaria,economia,3.4274420738220215,2.077785620336645
El mayor defensor de la seguridad social,economia,3.4167802333831787,2.059632726170073
Un proyecto de promoción de inversiones,economia,3.7825944423675537,2.6824695298544485
El dólar barato adelanta una temporada record de turismo al exterior,economia,3.812958240509033,2.734167059687043
Nuevo billete de $20.000,economia,4.562555313110352,4.010434173658309
Para incentivar el cumplimiento fiscal y mejorar la conducta de los contribuyentes,economia,3.5056846141815186,2.2110016971122097
La mirada optimista del Banco Central,economia,3.431043863296509,2.083918042174665
Más energía renovable,economia,3.9704508781433105,3.0023146838602326
Dan luz verde para un nuevo aumento de nafta,economia,3.417642593383789,2.0611009839173504
Los salieris de Eduardo,economia,4.141505241394043,3.293552558843659
Mi liquidación digital,economia,3.999396800994873,3.0515981332883326
Empresarios espirituales,economia,3.738126516342163,2.6067582528403004
Premio Nobel de Economía 2024 para una investigación sobre las diferencias de prosperidad entre naciones,economia,3.630039691925049,2.4227291730862515
Más productos en Cuota Simple,economia,3.767386913299561,2.6565771271975294
Cuáles son los puntos de abastecimiento disponibles en el país,economia,3.9766035079956055,3.012790177204506
"Karina y Su, de fiesta",economia,4.4224677085876465,3.7719204317264063
A las corridas frente a la emergencia,economia,3.756056308746338,2.6372855924500573
Una nueva app del BCRA,economia,4.517414569854736,3.933577355211256
El oro marca un nuevo récord y sigue en alza,economia,3.9780044555664062,3.0151754364035663
Llega el 1er Congreso Tributario Internacional,economia,3.818455457687378,2.743526644668788
Inversión en nueva pick up,economia,3.9992659091949463,3.0513752763618034
José Luis Daza desembarca como secretario de Política Económica,economia,3.71712875366211,2.571007374194889
Otro negocio para Flybondi,economia,4.3953447341918945,3.7257407419708755
"Dólar, inflación y PBI: los números clave del presupuesto de Milei y Caputo",economia,4.476055145263672,3.8631586257528174
Una compañía argentina logra emitir un bono internacional abajo del 8% por primera vez en 6 años,economia,4.578704833984375,4.03793041550779
Bono para autopartes,economia,3.725518703460694,2.585292137846171
Cumbre entre AFIP e IRS,economia,3.515249252319336,2.227286490047659
Mayor alcance para la firma digital,economia,3.920682430267334,2.9175787161528395
Cargar nafta de madrugada será más barato,economia,3.4828994274139404,2.1722075427323944
Más vuelos Cordoba-Río,economia,3.4220285415649414,2.068568517652189
Desregulación aerocomercial,economia,3.4009623527526855,2.0327011363876264
Cambios en la segmentación,economia,3.525651454925537,2.2449973237534118
El FMI mira y advierte,economia,3.831265687942505,2.7653373963307195
Ofertas para captar clientes,economia,3.837895393371582,2.7766251605492815
Los números del Hot Sale,economia,3.64851188659668,2.454180009067327
Más gas para el invierno,economia,4.182286739349365,3.362987307992615
Cazar con el dólar barato,economia,3.7863359451293945,2.688839828120421
La revancha del Bitcoin,economia,4.405462265014648,3.7429668923063626
"""Un poco de humildad, Toto""",economia,3.7555508613586426,2.6364250156117306
Acuerdo Mercosur-Unión Europea en la agenda,economia,3.738269329071045,2.6070014063903746
Megayacimiento de cobre en San Juan,economia,4.041272163391113,3.122895300613818
Mejoraron los patentamientos,economia,3.651952028274536,2.46003720869007
Reglamentaron el régimen antidumping,economia,4.326840877532959,3.609105788834524
Nuevo control digital,economia,3.7723584175109863,2.6650416310809195
Nueva conducción en la UIA,economia,3.543944835662842,2.2761437103813047
El ministro Caputo viaja a Washington para reunirse con los dueños de la pelota,economia,3.876481533050537,2.842322083506109
Vista compra Petronas,economia,3.7333555221557617,2.5986351381649437
La vuelta del dólar puré,economia,4.416219711303711,3.761282565393769
El comunicado del Banco Central con los principales puntos del nuevo programa económico,economia,4.014873504638672,3.0779488337049083
El comunicado del Banco Central con los principales puntos del nuevo programa económico,economia,4.014873504638672,3.0779488337049083
De Vaca Muerta a Brasil,economia,4.634809494018555,4.133454444562057
"""YPF continuará con las exploraciones offshore""",economia,3.441889762878418,2.1023843162087785
