titulo,seccion,emocionalidad,z_emo
"Los menores, con acceso a cuentas en dólares",economia,4.108238220214844,2.653394093746307
"Facilitan el intercambio comercial por sistema ""courier""",economia,4.021518707275391,2.530867503121799
"Facilitan el intercambio comercial por sistema ""courier""",economia,4.021518707275391,2.530867503121799
Control sobre cuentas,economia,4.099001884460449,2.6403440120347166
Aumentan la luz y el gas,economia,3.8215041160583496,2.2482655245556904
"El impuesto PAIS, cosa del pasado",economia,3.90071964263916,2.3601896817318093
Pluspetrol se incorporó a Vaca Muerta  Oleoducto Sur,economia,4.295527935028076,2.9180170077509544
"Del ""Black"" Carrefour a las noches de ofertas de Coto y Changomas",economia,3.885118961334229,2.338147372833611
ARCA abrió la facturación en dólares,economia,3.710580825805664,2.091541252072709
El gobernador Figueroa presentó la ley para promover inversiones en Neuquén,economia,3.803851127624512,2.2233234969333475
Por qué y para qué una reforma laboral en Argentina,economia,3.998167037963867,2.49787377046408
Altos rendimientos en las áreas trigueras,economia,4.072696685791016,2.603177217625754
"Polo estratégico del litio, mineral clave para la transición energética",economia,4.408654689788818,3.0778545702488693
Bitcoin está de fiesta con Trump,economia,4.084850311279297,2.6203491578769165
Todo listo para la primera exportación de trigo a China,economia,4.286201477050781,2.904839591736654
El mayor defensor de la seguridad social,economia,4.003896713256836,2.505969267719964
Fuerte repunte en la molienda de soja,economia,4.378880500793457,3.03578641577528
Tarifas al servicio del saqueo,economia,3.7944931983947754,2.2101016149720683
Nuevo billete de $20.000,economia,4.239675521850586,2.8391027526678196
Los mercados festejan el triunfo de Donald Trump en Estados Unidos y se aprecia el dólar,economia,3.951674699783325,2.4321844291113357
Para incentivar el cumplimiento fiscal y mejorar la conducta de los contribuyentes,economia,4.111163139343262,2.657526731909389
Más energía renovable,economia,4.140946388244629,2.6996076871858965
Los salieris de Eduardo,economia,4.09229850769043,2.63087276532839
El gobierno pisa el acelerador del RIGI,economia,4.083066463470459,2.617828747155024
Mi liquidación digital,economia,4.2996439933776855,2.923832614634509
Milei borró a la clase media del Conurbano,economia,3.665396690368652,2.0277002792886654
Visita a Londres para atraer capital minero,economia,4.077883720397949,2.610506014159501
Más productos en Cuota Simple,economia,3.9311740398406982,2.4032189070139474
Las claves de la desregulación total del transporte de media y larga distancia,economia,3.969061374664306,2.456750180500539
"Precios del petróleo, en alza",economia,3.9275081157684326,2.3980392979174727
El plan oficial para evitar cortes de luz,economia,3.702286720275879,2.0798224538645824
"Karina y Su, de fiesta",economia,3.822525978088379,2.2497093203795386
Una nueva app del BCRA,economia,4.238205432891846,2.8370256539627685
El oro marca un nuevo récord y sigue en alza,economia,4.812295436859131,3.6481613316600536
Llega el 1er Congreso Tributario Internacional,economia,4.038283348083496,2.5545543783317166
Otro negocio para Flybondi,economia,3.739766836166382,2.132778364946337
Escala el conflicto por las tasas municipales,economia,3.962803602218628,2.4479085311798343
La crisis pega en el empleo,economia,3.849157333374023,2.2873369436935462
"Dólar, inflación y PBI: los números clave del presupuesto de Milei y Caputo",economia,4.270459175109863,2.882597186077054
Bono para autopartes,economia,3.692296504974365,2.065707210604926
Avanza la libertad para despedir a trabajadores,economia,3.795990467071533,2.212217116085873
"Fábrica de 73 años, ¡afuera!",economia,3.7627108097076416,2.16519606147275
