titulo,contenido,autor,fecha,url,emocionalidad_full,subjetividad_full,objetividad_full,seccion
Las mejores fotos de la marcha de la CGT,"EN VIVO             Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Desconocido,2025-05-01T07:24:25-03:00,https://www.pagina12.com.ar/822351-las-mejores-fotos-de-la-marcha-de-la-cgt,4.808804988861084,0.3583333333333334,0.6416666666666666,el-pais
"Por tercer año consecutivo, la mejor parrilla del mundo es argentina","EN VIVO Don Julio lo hizo de nuevo.Por tercer año consecutivo, la parrilla de Palermo fue elegida como la mejor parrilla del mundo según el rankingWorld’s 101 Best Steak Restaurants 2025.La lista, que organiza cada año la empresa británica Upper Cut Media House, ubicó al restaurante porteño en lo más alto, confirmando su lugar como referencia internacional de la carne argentina.   Detrás de Don Julio aparecen parrillas deAustralia, España, Italia y Singapur,en una selección que se publica desde 2019 y que evalúa a los 101 mejores restaurantes de carne del planeta. En la edición de este año, además, otras tres parrillas argentinas lograron meterse en el ranking:Fogón Asado, en el puesto 35; Elena, en el 56; y Hermanos, en el 95. El listado se define con visitas anónimas deembajadores especializados en carnes,que recorren restaurantes en distintos países. Según explicaron desde la organización, cada lugar es evaluado una o dos veces al año por su producto, servicio, ambiente y experiencia. En ese circuito, Don Julio, de Pablo Rivero, volvió a destacarse por su selección de cortes y su apuesta a la cocina clásica, pero con detalles premium. “Es un reconocimiento que confirma el nivel de la gastronomía argentina”,señaló Rivero, que ya viene acumulando premios internacionales. En 2024, además de liderar este ranking, Don Julio obtuvo su primera estrella Michelin y llegó al puesto 10 de The World’s 50 Best Restaurants, donde comparten lugar con solo dos restaurantes latinoamericanos más. Cada año, por las mesas de Don Julio pasan alrededor de200.000 comensales,entre turistas extranjeros y público local.El restaurante funciona desde hace más de dos décadas en Palermoy mantiene su carta enfocada en carnes a las brasas, cortes tradicionales y vinos argentinos. Mientras la carne en las carnicerías no para de subir, los precios en Don Julio también están entre los más altos del país. Sin embargo, el restaurante sigue sumando reconocimientos y posicionando a Buenos Aires como una de las capitales mundiales de la carne.   Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Desconocido,2025-05-02T20:19:13-03:00,https://www.pagina12.com.ar/822781-por-tercer-ano-consecutivo-la-mejor-parrilla-del-mundo-es-ar,4.772364139556885,0.30689655172413793,0.693103448275862,sociedad
Siempre serás popular,"EN VIVO Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Marina Muñoz,2023-04-17T08:39:06-03:00,https://www.pagina12.com.ar/541174-siempre-seras-popular,4.717843532562256,0.4583333333333333,0.5416666666666667,negrx
Compañero y amigo,"EN VIVO  Gracias por tu amistad, por los sueños compartidos, las interminables charlas y asados que se alargaban hasta la madrugada. Gracias por tu compañía, por la amistad junto a León, Tristán, Luis, Caro y María. Por esos encuentros entre los integrantes de la Jabonería de Vieytes, donde las películas y los debates parecían tener más sentido. Gracias por tu pasión por el periodismo, las tapas dePágina/12que dejan tu huella, los libros que escribiste y los cuentos del Capitán, que nos hacían reflexionar. Por siempre en mis recuerdos, el amor por River, el ritual de ir al Monumental, los inmensos abrazos de gol, y luego las cenas en Rojo y Negro. Fuiste un hombre de causas, de ideales, de lucha. La memoria y los derechos humanos fueron tu bandera, nos enseñaste a no olvidar y a no callar. Nos dejas tu amor por Laura y tus hijos Joaco, Paula y Jorge, que refleja la fuerza con la que vivíste. Gracias por tu despedida y ese momento que nos dejas en el final. Como dice Bob Dylan: “La respuesta está soplando en el viento” Por siempre, Hugo Soriani, compañero y amigo. Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Edgardo Esteban,2025-04-13T00:01:00-03:00,https://www.pagina12.com.ar/817700-companero-y-amigo,4.688131332397461,0.4020833333333333,0.5979166666666667,el-pais
Dueños,"EN VIVO Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Marina Muñoz,2024-07-08T08:10:24-03:00,https://www.pagina12.com.ar/750459-duenos,4.677290439605713,0.37,0.63,negrx
Adiós al alma vibrante de Quincy Jones,"EN VIVO Hoy, el mundo despide a un gigante:Quincy Jones, quien a sus 91 años deja este plano para convertirse en leyenda. Con un legado tan vasto como el universo que exploró con su música, su partida marca un antes y un después, particularmente en la comunidad negra global, que lo llora y celebra su vida en la misma medida. Su familia compartió esta noticia con el corazón roto, pero lleno de orgullo:“Aunque esta es una pérdida increíble para nuestra familia, celebramos la gran vida que vivió y sabemos que nunca habrá otro como él”. “Era verdaderamente único y lo echaremos de menos profundamente; nos reconforta y enorgullece enormemente saber que el amor y la alegría, que eran la esencia de su ser, fueron compartidos con el mundo a través de todo lo que creó. A través de su música y su amor sin límites, el corazón de Quincy Jones latirá por la eternidad”decía el comunicado emitido por la familia del artista. Dueño de una carrera tan extensa como única, su pérdida deja un vacío enorme en la escena de la música pero también invita a revisitar toda su obra y seguir inspirándonos para continuar ese legado lleno de historia y conciencia. Quincy Jones fue mucho más que un virtuoso de la música. Fue un puente entre generaciones, un mentor para talentos incipientes y una voz poderosa que luchó siempre por el reconocimiento y la dignidad de nuestra comunidad. Con 28 premios Grammy, dos Oscar honoríficos y un Emmy, la carrera de Jones se define no sólo por sus premios, sino por sus hitos. En 2016, fue una pieza fundamental en la creación delMuseo Nacional de Historia y Cultura Afroamericana(National Museum of African American History and Culture, NMAAHC) en Washington D.C., un espacio donde, en sus palabras,“los jóvenes negros pueden conocer de dónde vienen”. Para él, este museo era un acto de resistencia y un símbolo de orgullo colectivo; un lugar donde bebop, doo-wop y hip hop convergen como fenómenos sociales que reflejan la historia de nuestra gente. A medida que la industria de la música se transformaba con la era digital, Jones continuó adaptándose. Fue mentor de nuevos artistas, promoviendo colaboraciones y defendiendo la preservación de la música afroestadounidense. En 2018, lanzó un documental en Netflix tituladoQuincy, dirigido por su hija,Rashida Jones. En él se puede ver una parte más íntima de su vida, sus logros y los desafíos que enfrentó en su carrera. La producción fue aclamada y le dió a las nuevas generaciones una perspectiva completa de su influencia en el jazz, el pop y el hip hop, así como su contribución en la lucha por los derechos civiles. Durante este período, Jones también se involucró en la educación y en la defensa de los derechos de autor para los artistas, asegurando que las generaciones venideras tuvieran mayor control sobre su música y derechos.   Qwest Broadcasting Company fue fundado por Quincy Jones nacido de su deseo de tener mayor libertad creativa y de apoyar a artistas diversos. El primer programa que lanzaron fue el reconocido“Fresh Prince of Bel-Air”que impulsó aún más a un jovenWill Smithque luego del rotundo éxito no pararía de crecer en la pantalla. En 1993 su trabajo y visión lo llevó a fundar un nuevo medio, la revistaVibe, orientada a la cultura hip hop, el propio Quincy notaba que el hip hop era una cultura en crecimiento que no tenía voz y es ahí que pensó en una plataforma propia para ese movimiento tan poderoso. Su rol en el hip hop fue tan determinante que en 1995 se realizó en New York el Simposio de Hip Hop con grandes referentes de la cultura que incluían productores y artistas de la talla deSuge Knight,Dr. DreyCommonpor citar algunos. En esa ocasión Quincy hizo foco en frenar la violencia que estaba escalando dentro de la comunidad y poner un freno para no perder, como él marcaba, dos generaciones de jóvenes. “Me enamoré del hip hop porque me recordaba mucho al bebop. Sentí un parentesco porque vivimos muchas de las mismas cosas. La filosofía detrás del bebop era estar “hip”, y estar “hip” era estar despierto”.“Ya no podemos darnos el lujo de no ser diplomáticos. Debemos hablar en serio sobre lo que deberán resolver. No son juegos, disparan armas reales. Quiero verlos llegar a mi edad”.   ""We Are the World""fue un emblemático proyecto musical lanzado en 1985, ideado porHarry Belafontey liderado por Quincy Jones, con el objetivo de recaudar fondos para combatir el hambre en Etiopía en particular y en África en general. La canción fue escrita porMichael JacksonyLionel Richie, y se grabó en una histórica sesión que reunió a 46 de los artistas más famosos de la época, entre ellosStevie Wonder,Diana Ross,Ray Charles,Bruce SpringsteenyTina Turner.  El proyecto fue un hito por su mensaje de solidaridad global y su capacidad para movilizar a la industria musical en torno a una causa humanitaria. El lema de la grabación, ""Leave your egos at the door"" (""Dejen sus egos en la puerta""), fue una instrucción directa de Quincy Jones para lograr un ambiente de colaboración genuina.""We Are the World""se convirtió en un éxito mundial, recaudando millones de dólares y demostrando el poder de la música para inspirar cambios sociales.No sólo trascendió las diferentes generaciones de artistas, los géneros musicales y las nuevas tecnologías y formas de trabajar sino que también los propios límites del planeta. En 1969 los astronautas del Apolo 10 reprodujeron la canción “Fly Me to the Moon” para la gente en la tierra mientras orbitaba la Luna a 250.000 kilómetros en el espacio. Esta mítica canción deFrank Sinatrapertenece a la etapa en que Quincy estaba a cargo de lo que él llamaba “la mejor banda del mundo”. Sin lugar a dudas una personalidad tan brillante sólo dejó de estar en este plano, su legado más que nunca, será eterno y honrado por quienes valoramos su incansable labor y compromiso por mantener la memoria de nuestra diáspora y construir para el futuro. Hasta siempre hermano Quincy. *Artista y activista antirracista afroargentino de DIAFAR. Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Desconocido,2024-11-05T09:36:03-03:00,https://www.pagina12.com.ar/780366-adios-al-alma-vibrante-de-quincy-jones,4.671422481536865,,,negrx
Reyes,"EN VIVO Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Marina Muñoz,2024-01-08T18:23:32-03:00,https://www.pagina12.com.ar/702170-reyes,4.67093563079834,0.37,0.63,negrx
8M,"EN VIVO Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Marina Muñoz,2024-03-04T08:27:59-03:00,https://www.pagina12.com.ar/717776-8-m,4.662456512451172,0.37,0.63,negrx
Yo quiero a mi bandera...,"EN VIVO Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Marina Muñoz,2023-10-09T09:00:06-03:00,https://www.pagina12.com.ar/596372-yo-quiero-a-mi-bandera,4.656763076782227,0.4083333333333334,0.5916666666666666,negrx
Nuevo,"EN VIVO Conocé todas las opciones del contenido que podés recibir en tu correo. Noticias, cultura, ciencia, economía, diversidad, lifestyle y mucho más, con la calidad de información del Grupo Octubre, el motor cultural de América Latina. Este es un contenido original realizado por nuestra redacción. Sabemos que valorás la información rigurosa, con una mirada que va más allá de los datos y del bombardeo cotidiano. Hace 37 añosPágina|12asumió un compromiso con el periodismo, lo sostiene y cuenta con vos para renovarlo cada día.",Marina Muñoz,2024-05-13T08:51:22-03:00,https://www.pagina12.com.ar/736252-nuevo,4.6528706550598145,0.3840909090909091,0.615909090909091,negrx
